,name,coord.lat,coord.lon,main.temp_max,main.humidity,clouds.all,wind.speed,sys.country,dt
285,Itarema,-2.9248,-39.9167,298.42,85.0,100.0,2.8,BR,1611189225.0
286,Portland,45.5234,-122.6762,281.48,61.0,90.0,0.44,US,1611189162.0
287,Charleston,32.7766,-79.9309,285.37,54.0,20.0,2.57,US,1611189200.0
288,Ouro Sogui,15.6064,-13.3211,296.15,33.0,0.0,1.03,SN,1611189227.0
289,Porto-Novo,6.4965,2.6036,300.15,89.0,40.0,2.57,BJ,1611189228.0
290,Codrington,-38.2667,141.9667,299.39,33.0,0.0,1.74,AU,1611189229.0
291,Christchurch,-43.5333,172.6333,292.04,51.0,75.0,5.66,NZ,1611188938.0
292,Itaituba,-4.2761,-55.9836,299.15,89.0,40.0,0.61,BR,1611189231.0
293,Saint-Augustin,51.226,-58.6502,259.58,87.0,100.0,6.12,CA,1611189232.0
294,Mossamedes,-15.1961,12.1522,294.61,78.0,91.0,2.36,AO,1611189233.0
295,Kidal,18.4411,1.4078,288.78,29.0,12.0,5.44,ML,1611189233.0
296,Impfondo,1.6381,18.0667,295.6,80.0,100.0,0.9,CG,1611189234.0
297,Nouadhibou,20.931,-17.0347,289.15,67.0,0.0,6.17,MR,1611189234.0
298,Hambantota,6.1241,81.1185,296.15,100.0,1.0,1.54,LK,1611189235.0
299,Verkh-Usugli,52.7,115.1667,250.26,87.0,92.0,1.34,RU,1611189235.0
300,Kambove,-10.8764,26.5969,290.22,100.0,100.0,1.01,CD,1611189236.0
301,,,,,,,,,
302,Mattawa,46.7379,-119.9028,277.15,75.0,90.0,0.34,US,1611189237.0
303,Quryq,43.2,51.65,270.46,86.0,74.0,6.17,KZ,1611189237.0
304,Alofi,-19.0595,-169.9187,299.15,89.0,75.0,2.06,NU,1611189238.0
305,Pevek,69.7008,170.3133,238.73,84.0,26.0,1.24,RU,1611189239.0
306,Todos Santos,23.45,-110.2167,295.93,84.0,100.0,3.98,MX,1611189239.0
307,Sabha,27.0377,14.4283,280.56,57.0,0.0,3.95,LY,1611189240.0
308,Creston,41.0586,-94.3614,277.04,81.0,1.0,3.6,US,1611189241.0
309,,,,,,,,,
310,,,,,,,,,
311,Fortuna,40.5982,-124.1573,285.15,58.0,1.0,5.14,US,1611189243.0
312,San Fernando,15.0286,120.6898,298.15,88.0,90.0,1.03,PH,1611189243.0
313,Broken Hill,-31.95,141.4333,304.15,10.0,0.0,2.06,AU,1611189244.0
